Date,Close,Open,High,Low,Volume,Change
2013-08-28,7824.54,7776.87,7834.11,7761.76,1670000.0,0.0005
2013-08-29,7917.66,7841.99,7931.05,7841.99,1750000.0,0.011899999999999999
2013-08-30,8021.89,7949.99,8021.89,7936.82,2089999.9999999998,0.0132
2013-09-02,8038.86,8010.15,8052.71,7993.13,1810000.0,0.0021
2013-09-03,8088.37,8095.66,8102.66,8067.62,2110000.0,0.0062
2013-09-04,8083.44,8066.67,8094.12,8041.49,2029999.9999999998,-0.0006
2013-09-05,8169.1,8109.24,8169.1,8107.22,2420000.0,0.0106
2013-09-06,8164.2,8180.53,8182.56,8155.5,2420000.0,-0.0006
2013-09-09,8192.11,8176.47,8192.11,8117.87,2160000.0,0.0034000000000000002
2013-09-10,8208.77,8217.21,8238.91,8155.87,2390000.0,0.002
2013-09-11,8208.99,8174.54,8208.99,8137.07,2170000.0,0.0
2013-09-12,8225.36,8180.38,8226.61,8177.03,2170000.0,0.002
2013-09-13,8168.2,8210.15,8228.67,8162.14,1610000.0,-0.0069
2013-09-14,8142.48,8169.41,8176.76,8142.48,1000000.0,-0.0031
2013-09-16,8255.34,8189.61,8255.34,8189.61,1890000.0,0.0139
2013-09-17,8249.78,8241.03,8249.78,8218.94,1630000.0,-0.0007000000000000001
2013-09-18,8209.18,8248.18,8263.05,8209.18,1850000.0,-0.0049
2013-09-23,8292.83,8226.8,8293.03,8221.34,2270000.0,0.0102
2013-09-24,8299.12,8295.5,8310.94,8265.55,2280000.0,0.0008
2013-09-25,8283.9,8283.6,8285.28,8253.43,2260000.0,-0.0018
2013-09-26,8184.68,8290.1,8290.1,8184.68,2069999.9999999998,-0.012
2013-09-27,8230.68,8222.13,8244.86,8207.72,2150000.0,0.005600000000000001
2013-09-30,8173.87,8174.86,8204.4,8137.11,1890000.0,-0.0069
2013-10-01,8187.02,8173.99,8222.38,8172.79,2000000.0,0.0016
2013-10-02,8216.52,8215.96,8228.81,8204.34,2470000.0,0.0036
2013-10-03,8359.02,8231.68,8376.79,8231.68,3250000.0,0.0173
2013-10-04,8364.55,8345.82,8376.06,8336.61,2570000.0,0.0007000000000000001
2013-10-07,8333.66,8354.91,8361.5,8323.79,2780000.0,-0.0037
2013-10-08,8375.65,8340.33,8375.65,8311.59,2580000.0,0.005
2013-10-09,8344.73,8352.25,8378.37,8330.79,2610000.0,-0.0037
2013-10-11,8349.37,8407.45,8433.53,8349.37,2620000.0,0.0006
2013-10-14,8273.96,8339.99,8343.65,8269.16,2280000.0,-0.009000000000000001
2013-10-15,8367.88,8320.48,8368.02,8320.48,2290000.0,0.011399999999999999
2013-10-16,8332.18,8384.03,8384.03,8332.18,2020000.0,-0.0043
2013-10-17,8374.68,8390.88,8415.16,8364.89,2260000.0,0.0051
2013-10-18,8441.19,8416.33,8441.19,8390.32,2320000.0,0.0079
2013-10-21,8419.32,8456.68,8459.3,8400.06,1980000.0,-0.0026
2013-10-22,8418.27,8407.62,8425.31,8376.27,1950000.0,-0.0001
2013-10-23,8393.62,8419.8,8438.95,8380.15,1910000.0,-0.0029
